File,Trait,True_Bias,Min_N_Required,Total_Samples
DREsS_Std_meta-llama3-1-405b-instruct-v1-0_guidelines_prompt.json,language,-0.929202519974937,5,6508
DREsS_Std_meta-llama3-1-405b-instruct-v1-0_guidelines_prompt.json,organization,-0.7626297548419552,10,6508
DREsS_Std_meta-llama3-1-405b-instruct-v1-0_keywords_system_prompt.json,content,-0.0846906371711227,475,6508
DREsS_Std_meta-llama3-1-405b-instruct-v1-0_keywords_system_prompt.json,language,-0.7095497848796695,5,6508
DREsS_Std_meta-llama3-1-405b-instruct-v1-0_keywords_system_prompt.json,organization,-0.5833119920884211,15,6508
DREsS_Std_meta-llama3-1-70b-instruct-v1-0_guidelines_prompt.json,content,-0.0034092074299190028,Not Reached,6502
DREsS_Std_meta-llama3-1-70b-instruct-v1-0_guidelines_prompt.json,language,-0.6651073174060117,5,6502
DREsS_Std_meta-llama3-1-70b-instruct-v1-0_guidelines_prompt.json,organization,-0.4837272292388667,15,6502
DREsS_Std_meta-llama3-1-70b-instruct-v1-0_keywords_system_prompt.json,content,0.17667829416926578,100,6498
DREsS_Std_meta-llama3-1-70b-instruct-v1-0_keywords_system_prompt.json,language,-0.5375831452407236,10,6498
DREsS_Std_meta-llama3-1-70b-instruct-v1-0_keywords_system_prompt.json,organization,-0.3420454156938203,25,6498
DREsS_Std_meta-llama3-1-8b-instruct-v1-0_guidelines_prompt.json,content,-0.5882823461039249,15,6494
DREsS_Std_meta-llama3-1-8b-instruct-v1-0_guidelines_prompt.json,language,-1.0747516938708381,5,6494
DREsS_Std_meta-llama3-1-8b-instruct-v1-0_guidelines_prompt.json,organization,-1.0031310953804538,5,6494
DREsS_Std_meta-llama3-1-8b-instruct-v1-0_keywords_system_prompt.json,content,-0.2884937739530309,45,6496
DREsS_Std_meta-llama3-1-8b-instruct-v1-0_keywords_system_prompt.json,language,-0.904223111658029,5,6496
DREsS_Std_meta-llama3-1-8b-instruct-v1-0_keywords_system_prompt.json,organization,-0.882863813639265,5,6496
DREsS_Std_openai-gpt-oss-120b-1-0_guidelines_prompt.json,content,-1.3425271460832309,5,6508
DREsS_Std_openai-gpt-oss-120b-1-0_guidelines_prompt.json,language,-1.5704901659491226,5,6508
DREsS_Std_openai-gpt-oss-120b-1-0_guidelines_prompt.json,organization,-1.6390894966981324,5,6508
DREsS_Std_openai-gpt-oss-120b-1-0_keywords_system_prompt.json,content,-1.1040514238951546,5,6508
DREsS_Std_openai-gpt-oss-120b-1-0_keywords_system_prompt.json,language,-1.4908958205281022,5,6508
DREsS_Std_openai-gpt-oss-120b-1-0_keywords_system_prompt.json,organization,-1.455315679857321,5,6508
DREsS_Std_openai-gpt-oss-20b-1-0_guidelines_prompt.json,content,-1.1354984351820328,5,6497
DREsS_Std_openai-gpt-oss-20b-1-0_guidelines_prompt.json,language,-1.4079532433768576,5,6497
DREsS_Std_openai-gpt-oss-20b-1-0_guidelines_prompt.json,organization,-1.3903895815266192,5,6497
DREsS_Std_openai-gpt-oss-20b-1-0_keywords_system_prompt.json,content,-0.8960322348902063,5,6494
DREsS_Std_openai-gpt-oss-20b-1-0_keywords_system_prompt.json,language,-1.2564140403104063,5,6494
DREsS_Std_openai-gpt-oss-20b-1-0_keywords_system_prompt.json,organization,-1.2249811792184748,5,6494
